imdb,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,error_movies,plot,rated,response,language,title,country,writer,metascore,imdbrating,director,released,actors,year,genre,awards,runtime,type,poster,imdbvotes,imdbid,error_imdb,imdb_rating
tt1764651,ok-disagree,ok,PASS,100000000,85028192.0,311979256.0,2012PASS,101463857,86272883.0,316546185.0,1.0,1.0,1764651,,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",R,True,English,The Expendables 2,USA,"Richard Wenk (screenplay), Sylvester Stallone (screenplay), Ken Kaufman (story), David Agosto (story), Richard Wenk (story), Dave Callaham (characters)",51.0,6.8,Simon West,17 Aug 2012,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",2012.0,"Action, Adventure, Thriller",3 wins & 4 nominations.,103 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQzODkwNDQxNV5BMl5BanBnXkFtZTcwNTQ1ODAxOA@@._V1_SX300.jpg,"179,914",tt1764651,,6.8
tt1601913,nowomen-disagree,nowomen,FAIL,25000000,51580136.0,84339696.0,2012FAIL,25365964,52335195.0,85574308.0,1.0,1.0,1601913,,"After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step.",R,True,English,The Grey,USA,"Joe Carnahan (screenplay), Ian Mackenzie Jeffers (screenplay), Ian Mackenzie Jeffers (short story ""Ghost Walker"")",64.0,6.8,Joe Carnahan,27 Jan 2012,"Liam Neeson, Frank Grillo, Dermot Mulroney, Dallas Roberts",2011.0,"Action, Adventure, Drama",4 wins & 2 nominations.,117 min,movie,http://ia.media-imdb.com/images/M/MV5BNDY4MTQwMzc1MV5BMl5BanBnXkFtZTcwNzcwNTM5Ng@@._V1_SX300.jpg,"155,699",tt1601913,,6.8
tt0903624,nowomen-disagree,nowomen,FAIL,250000000,303003568.0,1014703568.0,2012FAIL,253659641,307439106.0,1029557373.0,1.0,1.0,903624,,,,,,,,,,,,,,,,,,,,,,,
tt1392170,ok-disagree,ok,PASS,80000000,408010692.0,684510692.0,2012PASS,81171085,413983383.0,694530947.0,1.0,1.0,1392170,,"Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games, a televised fight to the death in which two teenagers from each of the twelve Districts of Panem are chosen at random to compete.",PG-13,True,English,The Hunger Games,USA,"Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)",67.0,7.3,Gary Ross,23 Mar 2012,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields",2012.0,"Adventure, Sci-Fi, Thriller",Nominated for 1 Golden Globe. Another 30 wins & 34 nominations.,142 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_SX300.jpg,"469,100",tt1392170,,7.3
tt1649419,men,men,FAIL,40000000,19019882.0,169590606.0,2012FAIL,40585543,19298306.0,172073169.0,1.0,1.0,1649419,,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,PG-13,True,"English, Thai, Swedish",The Impossible,Spain,"Sergio G. Sánchez, María Belón (story)",73.0,7.6,J.A. Bayona,04 Jan 2013,"Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin",2012.0,"Drama, History, Thriller",Nominated for 1 Oscar. Another 23 wins & 40 nominations.,114 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA5NTA3NzQ5Nl5BMl5BanBnXkFtZTcwOTYxNjY0OA@@._V1_SX300.jpg,"106,866",tt1649419,,7.6
tt1258972,notalk,notalk,FAIL,15000000,15634090.0,21985095.0,2012FAIL,15219578,15862951.0,22306925.0,1.0,1.0,1258972,,"On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",R,True,English,The Man with the Iron Fists,"USA, Hong Kong","RZA (story), RZA (screenplay), Eli Roth (screenplay)",51.0,5.4,RZA,02 Nov 2012,"RZA, Rick Yune, Russell Crowe, Lucy Liu",2012.0,Action,3 nominations.,95 min,movie,http://ia.media-imdb.com/images/M/MV5BMTg5ODI3ODkzOV5BMl5BanBnXkFtZTcwMTQxNjUwOA@@._V1_SX300.jpg,"43,153",tt1258972,,5.4
tt1560747,notalk-disagree,notalk,FAIL,37500000,16247159.0,25116740.0,2012FAIL,38048946,16484994.0,25484413.0,1.0,1.0,1560747,,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by The Cause and its charismatic leader.,R,True,English,The Master,USA,Paul Thomas Anderson,86.0,7.1,Paul Thomas Anderson,21 Sep 2012,"Joaquin Phoenix, Price Carson, Mike Howard, Sarah Shoshana David",2012.0,Drama,Nominated for 3 Oscars. Another 62 wins & 75 nominations.,144 min,movie,http://ia.media-imdb.com/images/M/MV5BMTgxMjY1OTk4MV5BMl5BanBnXkFtZTcwOTQ3NDMxOQ@@._V1_SX300.jpg,"69,893",tt1560747,,7.1
tt1430626,notalk,notalk,FAIL,55000000,31051126.0,123056220.0,2012FAIL,55805121,31505670.0,124857587.0,1.0,1.0,1430626,,Pirate Captain sets out on a mission to defeat his rivals Black Bellamy and Cutlass Liz for the Pirate of the year Award. The quest takes Captain and his crew from the shores of Blood Island to the foggy streets of Victorian London.,PG,True,English,The Pirates! Band of Misfits,"UK, USA","Gideon Defoe (book), Gideon Defoe (screenplay)",,6.7,"Peter Lord, Jeff Newitt",27 Apr 2012,"Hugh Grant, Martin Freeman, Imelda Staunton, David Tennant",2012.0,"Animation, Adventure, Comedy",Nominated for 1 Oscar. Another 1 win & 12 nominations.,88 min,movie,http://ia.media-imdb.com/images/M/MV5BOTkzOTc1OTg1Ml5BMl5BanBnXkFtZTcwMjg2ODcwNg@@._V1_SX300.jpg,"30,169",tt1430626,,6.7
tt1817273,notalk-disagree,notalk,FAIL,15000000,21403519.0,47011449.0,2012FAIL,15219578,21716836.0,47699629.0,1.0,1.0,1817273,,"A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.",R,True,"English, Spanish",The Place Beyond the Pines,USA,"Derek Cianfrance (story), Ben Coccio (story), Derek Cianfrance (screenplay), Ben Coccio (screenplay), Darius Marder (screenplay)",68.0,7.4,Derek Cianfrance,19 Apr 2013,"Ryan Gosling, Craig Van Hook, Eva Mendes, Olga Merediz",2012.0,"Crime, Drama",2 wins & 5 nominations.,140 min,movie,http://ia.media-imdb.com/images/M/MV5BMjc1OTEwNjU4N15BMl5BanBnXkFtZTcwNzUzNDIwOQ@@._V1_SX300.jpg,"126,215",tt1817273,,7.4
tt1673434,dubious-disagree,dubious,FAIL,136200000,292324737.0,832660037.0,2012FAIL,138193773,296603952.0,844848985.0,1.0,1.0,1673434,,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",PG-13,True,English,The Twilight Saga: Breaking Dawn - Part 2,USA,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)",52.0,5.6,Bill Condon,16 Nov 2012,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",2012.0,"Adventure, Drama, Fantasy",19 wins & 10 nominations.,115 min,movie,http://ia.media-imdb.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_SX300.jpg,"133,930",tt1673434,,5.6
